country,child_mort,income,inflation,life_expec,total_fer,gdpp,region,continent,latitude,longitude,exports,health,imports
Afghanistan,90.2,1610.0,9.44,56.2,5.82,553.0,Southern Asia,Asia,33.93911,67.709953,55.300000000000004,41.9174,248.297
Albania,16.6,9930.0,4.49,76.3,1.65,4090.0,Southern Europe,Europe,41.153332,20.168331,1145.2,267.895,1987.74
Algeria,27.3,12900.0,16.1,76.5,2.89,4460.0,Northern Africa,Africa,28.033886,1.659626,1712.64,185.982,1400.44
Angola,119.0,5900.0,22.4,60.1,6.16,3530.0,Middle Africa,Africa,-11.202692,17.873887,2199.1899999999996,100.60499999999999,1514.37
Antigua and Barbuda,10.3,19100.0,1.44,76.8,2.13,12200.0,Caribbean,North America,17.060816,-61.796428,5551.0,735.6600000000001,7185.8
Argentina,14.5,18700.0,20.9,75.8,2.37,10300.0,South America,South America,-38.416097,-63.616672,1946.6999999999998,834.3,1648.0
Armenia,18.1,6700.0,7.77,73.3,1.69,3220.0,Western Asia,Asia,40.069099,45.038189,669.7600000000001,141.68000000000004,1458.66
Australia,4.8,41400.0,1.16,82.0,1.93,51900.0,Australia and New Zealand,Oceania,-25.274398,133.775136,10276.2,4530.87,10847.099999999999
Austria,4.3,43200.0,0.873,80.5,1.44,46900.0,Western Europe,Europe,47.516231,14.550072,24059.699999999997,5159.0,22418.199999999997
Azerbaijan,39.2,16000.0,13.8,69.1,1.92,5840.0,Western Asia,Asia,40.143105,47.576927,3171.12,343.392,1208.8799999999999
Bahamas,13.8,22900.0,-0.393,73.8,1.86,28000.0,Caribbean,North America,25.03428,-77.39628,9800.0,2209.2,12236.0
Bahrain,8.6,41100.0,7.44,76.0,2.16,20700.0,Western Asia,Asia,25.930414,50.637772,14386.5,1028.79,10536.3
Bangladesh,49.4,2440.0,7.14,70.4,2.33,758.0,Southern Asia,Asia,23.684994,90.356331,121.28,26.6816,165.244
Barbados,14.2,15300.0,0.321,76.7,1.78,16000.0,Caribbean,North America,13.193887,-59.543198,6320.0,1275.2,7792.0
Belarus,5.5,16200.0,15.1,70.4,1.49,6030.0,Eastern Europe,Europe,53.709807,27.953389,3099.4199999999996,338.283,3889.35
Belgium,4.5,41100.0,1.88,80.0,1.86,44400.0,Western Europe,Europe,50.503887,4.469936,33921.600000000006,4750.799999999999,33166.8
Belize,18.8,7880.0,1.14,71.4,2.71,4340.0,Central America,North America,17.189877,-88.49765,2525.88,225.68,2495.5
Benin,111.0,1820.0,0.885,61.8,5.36,758.0,Western Africa,Africa,9.30769,2.315834,180.404,31.077999999999996,281.976
Bhutan,42.7,6420.0,5.99,72.1,2.38,2180.0,Southern Asia,Asia,27.514162,90.433601,926.5,113.36000000000001,1541.2600000000002
Bolivia,46.6,5410.0,8.78,71.6,3.2,1980.0,South America,South America,-16.290154,-63.588653,815.7600000000001,95.832,679.14
Bosnia and Herzegovina,6.9,9720.0,1.4,76.8,1.31,4610.0,Southern Europe,Europe,43.915886,17.679076,1369.17,511.71,2364.93
Botswana,52.5,13300.0,8.92,57.1,2.88,6350.0,Southern Africa,Africa,-22.328474,24.684866,2768.6,527.0500000000001,3257.5499999999997
Brazil,19.8,14500.0,8.41,74.2,1.8,11200.0,South America,South America,-14.235004,-51.92528,1198.3999999999999,1009.12,1321.6000000000001
Brunei,10.5,80600.0,16.7,77.1,1.84,35300.0,South-eastern Asia,Asia,4.535277,114.727669,23792.2,1002.52,9884.0
Bulgaria,10.8,15300.0,1.11,73.9,1.57,6840.0,Eastern Europe,Europe,42.733883,25.48583,3433.6800000000003,469.9080000000001,3625.2000000000003
Burkina Faso,116.0,1430.0,6.81,57.9,5.87,575.0,Western Africa,Africa,12.238333,-1.561593,110.39999999999999,38.755,170.20000000000002
Burundi,93.6,764.0,12.3,57.7,6.26,231.0,Eastern Africa,Africa,-3.373056,29.918886,20.6052,26.796,90.552
Cambodia,44.4,2520.0,3.12,66.1,2.88,786.0,South-eastern Asia,Asia,12.565679,104.990963,425.22600000000006,44.6448,467.67
Cameroon,108.0,2660.0,1.91,57.3,5.11,1310.0,Middle Africa,Africa,7.369722,12.354722,290.82,67.203,353.7
Canada,5.6,40700.0,2.87,81.3,1.63,47400.0,Northern America,North America,56.130366,-106.346771,13793.400000000001,5356.200000000001,14694.0
Cape Verde,26.5,5830.0,0.505,72.5,2.67,3310.0,Western Africa,Africa,16.002082,-24.013197,1082.3700000000001,135.379,2045.58
Central African Republic,149.0,888.0,2.01,47.5,5.21,446.0,Middle Africa,Africa,6.611111,20.939444,52.628,17.750799999999998,118.19
Chad,150.0,1930.0,6.39,56.5,6.59,897.0,Middle Africa,Africa,15.454166,18.732207,330.096,40.634100000000004,390.19500000000005
Chile,8.7,19400.0,8.96,79.1,1.88,12900.0,South America,South America,-35.675147,-71.542969,4863.3,1026.84,4037.7000000000003
China,15.7,9530.0,6.94,74.6,1.59,4560.0,Eastern Asia,Asia,35.86166,104.195397,1199.28,231.192,1030.5600000000002
Colombia,18.6,10900.0,3.86,76.4,2.01,6250.0,South America,South America,4.570868,-74.297333,993.75,474.375,1112.5
Comoros,88.2,1410.0,3.87,65.9,4.75,769.0,Eastern Africa,Africa,-11.875001,43.872219,126.885,34.6819,397.57300000000004
"Congo, Dem. Rep.",116.0,609.0,20.8,57.5,6.54,334.0,Middle Africa,Africa,-4.038333,21.758664,137.274,26.4194,165.664
"Congo, Rep.",63.9,5190.0,20.7,60.4,4.95,2740.0,Middle Africa,Africa,-0.228021,15.827659,2331.74,67.404,1498.78
Costa Rica,10.2,13000.0,6.57,80.4,1.92,8200.0,Central America,North America,9.748917,-83.753428,2722.4,893.8000000000001,2870.0
Cote d'Ivoire,111.0,2690.0,5.39,56.3,5.27,1220.0,Western Africa,Africa,7.539989,-5.54708,617.3199999999999,64.66,528.26
Croatia,5.5,20100.0,0.821,76.3,1.55,13500.0,Southern Europe,Europe,45.1,15.2,5076.0,1047.6,5143.5
Cyprus,3.6,33900.0,2.01,79.9,1.42,30800.0,Western Asia,Asia,35.126413,33.429859,15461.6,1838.76,17710.0
Czech Republic,3.4,28300.0,-1.43,77.5,1.51,19800.0,Eastern Europe,Europe,49.817492,15.472962,13068.0,1560.24,12454.199999999999
Denmark,4.1,44000.0,3.22,79.5,1.87,58000.0,Northern Europe,Europe,56.26392,9.501785,29290.0,6612.0,25288.0
Dominican Republic,34.4,11100.0,5.44,74.6,2.6,5450.0,Caribbean,North America,18.735693,-70.162651,1237.1499999999999,338.99,1814.85
Ecuador,25.1,9350.0,7.47,76.7,2.66,4660.0,South America,South America,-1.831239,-78.183406,1300.1399999999999,375.59600000000006,1509.84
Egypt,29.1,9860.0,10.1,70.5,3.19,2600.0,Northern Africa,Africa,26.820553,30.802498,553.8000000000001,121.16,691.6
El Salvador,19.2,7300.0,2.65,74.1,2.27,2990.0,Central America,North America,13.794185,-88.89653,804.31,206.60899999999998,1393.34
Equatorial Guinea,111.0,33700.0,24.9,60.9,5.21,17100.0,Middle Africa,Africa,1.650801,10.267895,14671.8,766.08,10071.9
Eritrea,55.2,1420.0,11.6,61.7,4.61,482.0,Eastern Africa,Africa,15.179384,39.782334,23.0878,12.821200000000001,112.30600000000001
Estonia,4.5,22700.0,1.74,76.0,1.72,14600.0,Northern Europe,Europe,58.595272,25.013607,10964.599999999999,880.38,10030.2
Fiji,24.1,7350.0,4.23,65.3,2.67,3650.0,Melanesia,Oceania,-16.578193,179.414413,2109.7,177.39000000000001,2332.35
Finland,3.0,39800.0,0.351,80.0,1.87,46200.0,Northern Europe,Europe,61.92411,25.748151,17879.4,4134.9,17278.8
France,4.2,36900.0,1.05,81.4,2.03,40600.0,Western Europe,Europe,46.227638,2.213749,10880.800000000001,4831.400000000001,11408.6
Gabon,63.7,15400.0,16.6,62.9,4.08,8750.0,Middle Africa,Africa,-0.803689,11.609444,5048.75,306.25,1653.7499999999998
Gambia,80.3,1660.0,4.3,65.5,5.71,562.0,Western Africa,Africa,13.443182,-15.310139,133.756,31.977800000000002,239.97400000000002
Georgia,16.5,6730.0,8.55,72.8,1.92,2960.0,Western Asia,Asia,42.315407,43.356892,1036.0,298.96,1562.8799999999999
Germany,4.2,40400.0,0.758,80.1,1.39,41800.0,Western Europe,Europe,51.165691,10.451526,17681.399999999998,4848.8,15507.800000000001
Ghana,74.7,3060.0,16.6,62.2,4.27,1310.0,Western Africa,Africa,7.946527,-1.023194,386.45,68.38199999999999,601.29
Greece,3.9,28700.0,0.673,80.4,1.48,26900.0,Southern Europe,Europe,39.074208,21.824312,5944.900000000001,2770.7000000000003,8258.3
Grenada,14.6,11200.0,0.48,71.3,2.24,7370.0,Caribbean,North America,12.262776,-61.604171,1754.0600000000002,431.88200000000006,3626.0400000000004
Guatemala,35.4,6710.0,5.14,71.3,3.38,2830.0,Central America,North America,15.783471,-90.230759,730.14,193.855,1027.29
Guinea,109.0,1190.0,16.1,58.0,5.34,648.0,Western Africa,Africa,9.945587,-9.696645,196.34400000000002,31.9464,279.93600000000004
Guinea-Bissau,114.0,1390.0,2.97,55.6,5.05,547.0,Western Africa,Africa,11.803749,-15.180413,81.503,46.495,192.544
Guyana,37.6,5840.0,5.73,65.5,2.65,3040.0,South America,South America,4.860416,-58.93018,1562.56,163.552,2404.64
Haiti,208.0,1500.0,5.45,32.1,3.33,662.0,Caribbean,North America,18.971187,-72.285215,101.286,45.7442,428.314
Hungary,6.0,22300.0,2.33,74.5,1.25,13100.0,Eastern Europe,Europe,47.162494,19.503304,10715.8,960.23,10021.5
Iceland,2.6,38800.0,5.47,82.0,2.2,41900.0,Northern Europe,Europe,64.963051,-19.020835,22374.6,3938.6000000000004,18142.699999999997
India,58.8,4410.0,8.98,66.2,2.6,1350.0,Southern Asia,Asia,20.593684,78.96288,305.1,54.675,365.85
Indonesia,33.3,8430.0,15.3,69.9,2.48,3110.0,South-eastern Asia,Asia,-0.789275,113.921327,755.73,81.171,696.64
Iran,19.3,17400.0,15.9,74.5,1.76,6530.0,Southern Asia,Asia,32.427908,53.688046,1593.32,365.67999999999995,1266.82
Iraq,36.9,12700.0,16.6,67.2,4.56,4500.0,Western Asia,Asia,33.223191,43.679291,1773.0,378.45,1534.5
Ireland,4.2,45700.0,-3.22,80.4,2.05,48700.0,Northern Europe,Europe,53.41291,-8.24389,50161.0,4475.53,42125.5
Israel,4.6,29600.0,1.77,81.4,3.03,30600.0,Western Asia,Asia,31.046051,34.851612,10710.0,2334.7799999999997,10067.4
Italy,4.0,36200.0,0.319,81.7,1.46,35800.0,Southern Europe,Europe,41.87194,12.56738,9021.6,3411.74,9737.6
Jamaica,18.1,8000.0,9.81,74.7,2.17,4680.0,Caribbean,North America,18.109581,-77.297508,1464.84,225.10799999999998,2321.2799999999997
Japan,3.2,35800.0,-1.9,82.8,1.39,44500.0,Eastern Asia,Asia,36.204824,138.252924,6675.0,4223.05,6052.0
Jordan,21.1,9470.0,8.43,75.8,3.66,3680.0,Western Asia,Asia,30.585164,36.238414,1777.4399999999998,295.87199999999996,2539.2
Kazakhstan,21.5,20100.0,19.5,68.4,2.6,9070.0,Central Asia,Asia,48.019573,66.923684,4008.9400000000005,389.103,2711.93
Kenya,62.2,2480.0,2.09,62.8,4.37,967.0,Eastern Africa,Africa,-0.023559,37.906193,200.16899999999998,45.9325,324.91200000000003
Kiribati,62.7,1730.0,1.52,60.7,3.84,1490.0,Micronesia,Oceania,-3.370417,-168.734039,198.17000000000002,168.37,1190.5100000000002
Kuwait,10.8,75200.0,11.2,78.2,2.21,38500.0,Western Asia,Asia,29.31166,47.481766,25679.5,1012.55,11704.0
Kyrgyz Republic,29.6,2790.0,10.0,68.5,3.1,880.0,Central Asia,Asia,41.20438,74.766098,454.08000000000004,54.384,718.96
Lao,78.9,3980.0,9.2,63.8,3.15,1140.0,South-eastern Asia,Asia,19.85627,102.495496,403.56,50.958,562.02
Latvia,7.8,18300.0,-0.812,73.1,1.36,11300.0,Northern Europe,Europe,56.879635,24.603189,6068.1,754.8399999999999,6226.3
Lebanon,10.3,16300.0,0.238,79.8,1.61,8860.0,Western Asia,Asia,33.854721,35.862285,3171.8799999999997,622.858,5333.72
Lesotho,99.7,2380.0,4.15,46.5,3.3,1170.0,Southern Africa,Africa,-29.609988,28.233608,460.97999999999996,129.86999999999998,1181.6999999999998
Liberia,89.3,700.0,5.47,60.8,5.02,327.0,Western Africa,Africa,6.428055,-9.429499,62.45700000000001,38.586000000000006,302.80199999999996
Libya,16.6,29600.0,14.2,76.1,2.41,12100.0,Northern Africa,Africa,26.3351,17.228331,7937.599999999999,469.47999999999996,5094.1
Lithuania,6.1,21100.0,2.38,73.2,1.5,12000.0,Northern Europe,Europe,55.169438,23.881275,7836.0,844.8,8064.0
Luxembourg,2.8,91700.0,3.62,81.3,1.63,105000.0,Western Europe,Europe,49.815273,6.129583,183750.0,8158.5,149100.0
"Macedonia, FYR",10.4,11400.0,2.04,74.0,1.47,4540.0,Southern Europe,Europe,41.608635,21.745275,1806.9199999999998,321.88599999999997,2637.74
Madagascar,62.2,1390.0,8.79,60.8,4.6,413.0,Eastern Africa,Africa,-18.766947,46.869107,103.25,15.5701,177.59
Malawi,90.5,1030.0,12.1,53.1,5.31,459.0,Eastern Africa,Africa,-13.254308,34.301525,104.652,30.248099999999997,160.191
Malaysia,7.9,21100.0,7.27,74.5,2.15,9070.0,South-eastern Asia,Asia,4.210484,101.975766,7881.830000000001,398.173,6439.7
Maldives,13.2,10500.0,2.88,77.9,2.23,7100.0,Southern Asia,Asia,3.202778,73.22068,5509.599999999999,449.43,4643.400000000001
Mali,137.0,1870.0,4.37,59.5,6.55,708.0,Western Africa,Africa,17.570692,-3.996166,161.424,35.2584,248.508
Malta,6.8,28300.0,3.83,80.3,1.36,21100.0,Southern Europe,Europe,35.937496,14.375416,32283.0,1825.15,32494.0
Mauritania,97.4,3320.0,18.9,68.2,4.98,1200.0,Western Africa,Africa,21.00789,-10.940835,608.4000000000001,52.92,734.4000000000001
Mauritius,15.0,15900.0,1.13,73.4,1.57,8000.0,Eastern Africa,Africa,-20.348404,57.552152,4096.0,480.0,4976.0
"Micronesia, Fed. Sts.",40.0,3340.0,3.8,65.4,3.46,2860.0,Micronesia,Oceania,7.425554,150.550812,672.1,406.12,2316.6
Moldova,17.2,3910.0,11.1,69.7,1.27,1630.0,Eastern Europe,Europe,47.411631,28.369885,638.96,190.71,1279.55
Mongolia,26.1,7710.0,39.2,66.2,2.64,2650.0,Eastern Asia,Asia,46.862496,103.846656,1237.5500000000002,144.16,1502.5500000000002
Montenegro,6.8,14000.0,1.6,76.4,1.77,6680.0,Southern Europe,Europe,42.708678,19.37439,2471.6,608.5479999999999,4188.36
Morocco,33.5,6440.0,0.976,73.5,2.58,2830.0,Northern Africa,Africa,31.791702,-7.09262,911.2600000000001,147.16,1216.9
Mozambique,101.0,918.0,7.64,54.5,5.56,419.0,Eastern Africa,Africa,-18.665695,35.529562,131.985,21.829900000000002,193.57800000000003
Myanmar,64.4,3720.0,7.04,66.8,2.41,988.0,South-eastern Asia,Asia,21.913965,95.956223,1.07692,19.4636,0.651092
Namibia,56.0,8460.0,3.56,58.6,3.6,5190.0,Southern Africa,Africa,-22.95764,18.49041,2480.8199999999997,351.882,3150.33
Nepal,47.0,1990.0,15.1,68.3,2.61,592.0,Southern Asia,Asia,28.394857,84.124008,56.7136,31.08,215.488
Netherlands,4.5,45500.0,0.848,80.7,1.79,50300.0,Western Europe,Europe,52.132633,5.291266,36216.0,5985.7,31990.8
New Zealand,6.2,32300.0,3.73,80.9,2.17,33700.0,Australia and New Zealand,Oceania,-40.900557,174.885971,10211.1,3403.7,9436.0
Niger,123.0,814.0,2.55,58.8,7.49,348.0,Western Africa,Africa,17.607789,8.081666,77.256,17.9568,170.868
Nigeria,130.0,5150.0,104.0,60.5,5.84,2330.0,Western Africa,Africa,9.081999,8.675277,589.49,118.13100000000001,405.41999999999996
Norway,3.2,62300.0,5.95,81.0,1.95,87800.0,Northern Europe,Europe,60.472024,8.468946,34856.600000000006,8323.44,25023.0
Oman,11.7,45300.0,15.6,76.1,2.9,19300.0,Western Asia,Asia,21.512583,55.923255,12680.1,534.61,7951.6
Pakistan,92.1,4280.0,10.9,65.3,3.85,1040.0,Southern Asia,Asia,30.375321,69.345116,140.4,22.880000000000003,201.76
Panama,19.7,15400.0,2.59,77.8,2.62,8080.0,Central America,North America,8.537981,-80.782127,5656.0,654.4799999999999,6318.56
Paraguay,24.1,7290.0,6.1,74.1,2.73,3230.0,South America,South America,-23.442503,-58.443832,1779.7299999999998,189.601,1663.4499999999998
Peru,20.3,9960.0,5.71,77.9,2.54,5020.0,South America,South America,-9.189967,-75.015152,1395.5600000000002,255.01600000000002,1194.76
Philippines,31.9,5600.0,4.22,69.0,3.16,2130.0,South-eastern Asia,Asia,12.879721,121.774017,741.24,76.893,779.58
Poland,6.0,21800.0,1.66,76.3,1.41,12600.0,Eastern Europe,Europe,51.919438,19.145136,5052.6,939.96,5304.6
Portugal,3.9,27200.0,0.643,79.8,1.39,22500.0,Southern Europe,Europe,39.399872,-8.224454,6727.5,2475.0,8415.0
Qatar,9.0,125000.0,6.98,79.5,2.07,70300.0,Western Asia,Asia,25.354826,51.183884,43796.9,1272.43,16731.4
Romania,11.5,17800.0,3.53,73.7,1.59,8230.0,Eastern Europe,Europe,45.943161,24.96676,2682.98,459.234,3193.24
Russia,10.0,23100.0,14.2,69.2,1.57,10700.0,Eastern Europe,Europe,61.52401,105.318756,3124.4,543.5600000000001,2257.7000000000003
Rwanda,63.6,1350.0,2.61,64.6,4.51,563.0,Eastern Africa,Africa,-1.940278,29.873888,67.56,59.115,168.9
Samoa,18.9,5400.0,1.72,71.5,4.34,3450.0,Polynesia,Oceania,-13.759029,-172.104629,1007.4,223.215,1831.95
Saudi Arabia,15.7,45400.0,17.2,75.1,2.96,19300.0,Western Asia,Asia,23.885942,45.079162,9572.800000000001,827.97,6369.0
Senegal,66.8,2180.0,1.85,64.0,5.06,1000.0,Western Africa,Africa,14.497401,-14.452362,249.0,56.6,403.0
Serbia,7.6,12700.0,5.88,74.7,1.4,5410.0,Southern Europe,Europe,44.016521,21.005859,1779.8899999999999,562.64,2591.39
Seychelles,14.4,20400.0,-4.21,73.4,2.17,10800.0,Eastern Africa,Africa,-4.679574,55.491977,10130.4,367.2,11664.0
Sierra Leone,160.0,1220.0,17.2,55.0,5.2,399.0,Western Africa,Africa,8.460555,-11.779889,67.03200000000001,52.269,137.655
Singapore,2.8,72100.0,-0.046,82.7,1.15,46600.0,South-eastern Asia,Asia,1.352083,103.819836,93200.0,1845.36,81084.0
Slovak Republic,7.0,25200.0,0.485,75.5,1.43,16600.0,Eastern Europe,Europe,48.669026,19.699024,12665.8,1459.1399999999999,12914.8
Slovenia,3.2,28700.0,-0.987,79.5,1.57,23400.0,Southern Europe,Europe,46.151241,14.995463,15046.199999999999,2201.94,14718.6
Solomon Islands,28.1,1780.0,6.81,61.7,4.24,1290.0,Melanesia,Oceania,-9.64571,160.156194,635.97,110.29500000000002,1047.48
South Africa,53.7,12000.0,6.35,54.3,2.59,7280.0,Southern Africa,Africa,-30.559482,22.937506,2082.08,650.832,1994.7199999999998
South Korea,4.1,30400.0,3.16,80.1,1.23,22100.0,Eastern Asia,Asia,35.907757,127.766922,10917.4,1531.53,10210.2
Spain,3.8,32500.0,0.16,81.9,1.37,30700.0,Southern Europe,Europe,40.463667,-3.74922,7828.5,2928.7799999999997,8227.6
Sri Lanka,11.2,8560.0,22.8,74.4,2.2,2810.0,Southern Asia,Asia,7.873054,80.771797,550.7600000000001,82.614,753.08
St. Vincent and the Grenadines,20.7,9920.0,4.44,71.6,2.07,6230.0,Caribbean,North America,12.984305,-61.287228,1675.87,278.481,3557.33
Sudan,76.7,3370.0,19.6,66.3,4.88,1480.0,Northern Africa,Africa,12.862807,30.217636,291.56,93.53600000000002,254.56
Suriname,24.1,14200.0,7.2,70.3,2.52,8300.0,South America,South America,3.919305,-56.027783,4357.5,581.8299999999999,3187.2
Sweden,3.0,42900.0,0.991,81.5,1.98,52100.0,Northern Europe,Europe,60.128161,18.643501,24070.2,5017.2300000000005,21204.7
Switzerland,4.5,55500.0,0.317,82.2,1.52,74600.0,Western Europe,Europe,46.818188,8.227512,47744.0,8579.0,39761.799999999996
Tajikistan,52.4,2110.0,12.5,69.6,3.51,738.0,Central Asia,Asia,38.861034,71.276093,109.962,44.132400000000004,432.468
Tanzania,71.9,2090.0,9.25,59.3,5.43,702.0,Eastern Africa,Africa,-6.369028,34.888822,131.274,42.1902,204.282
Thailand,14.9,13500.0,4.08,76.6,1.55,5080.0,South-eastern Asia,Asia,15.870032,100.992541,3378.2,197.10399999999998,3088.64
Timor-Leste,62.6,1850.0,26.5,71.1,6.23,3600.0,South-eastern Asia,Asia,-8.874217,125.727539,79.2,328.32,1000.8000000000001
Togo,90.3,1210.0,1.18,58.7,4.87,488.0,Western Africa,Africa,8.619543,0.824782,196.17600000000002,37.332,279.62399999999997
Tonga,17.4,4980.0,3.68,69.9,3.91,3550.0,Polynesia,Oceania,-21.178986,-175.198242,440.2,179.985,2140.65
Tunisia,17.4,10400.0,3.82,76.9,2.14,4140.0,Northern Africa,Africa,33.886917,9.537499,2090.7,257.094,2289.4199999999996
Turkey,19.1,18000.0,7.01,78.2,2.15,10700.0,Western Asia,Asia,38.963745,35.243322,2182.7999999999997,721.1800000000001,2728.5
Turkmenistan,62.0,9940.0,2.31,67.9,2.83,4440.0,Central Asia,Asia,38.969719,59.556278,3387.72,111.0,1975.8
Uganda,81.0,1540.0,10.6,56.8,6.15,595.0,Eastern Africa,Africa,1.373333,32.290275,101.745,53.6095,170.17000000000002
Ukraine,11.7,7820.0,13.4,70.4,1.44,2970.0,Eastern Europe,Europe,48.379433,31.16558,1398.8700000000001,229.284,1517.67
United Arab Emirates,8.6,57600.0,12.5,76.5,1.87,35000.0,Western Asia,Asia,23.424076,53.847818,27195.0,1281.0,22260.0
United Kingdom,5.2,36200.0,1.57,80.3,1.92,38900.0,Northern Europe,Europe,55.378051,-3.435973,10969.8,3749.96,11981.2
United States,7.3,49400.0,1.22,78.7,1.93,48400.0,Northern America,North America,37.09024,-95.712891,6001.6,8663.599999999999,7647.200000000001
Uruguay,10.6,17100.0,4.91,76.4,2.08,11900.0,South America,South America,-32.522779,-55.765835,3129.7000000000003,993.65,3022.6
Uzbekistan,36.3,4240.0,16.5,68.8,2.34,1380.0,Central Asia,Asia,41.377491,64.585262,437.46000000000004,80.178,393.3
Vanuatu,29.2,2950.0,2.62,63.0,3.5,2970.0,Melanesia,Oceania,-15.376706,166.959158,1384.02,155.92499999999998,1565.19
Venezuela,17.1,16500.0,45.9,75.4,2.47,13500.0,South America,South America,6.42375,-66.58973,3847.5,662.85,2376.0
Vietnam,23.3,4490.0,12.1,73.1,1.95,1310.0,South-eastern Asia,Asia,14.058324,108.277199,943.1999999999999,89.604,1050.6200000000001
Yemen,56.3,4480.0,23.6,67.5,4.67,1310.0,Western Asia,Asia,15.552727,48.516388,393.0,67.85799999999999,450.64
Zambia,83.1,3280.0,14.0,52.0,5.4,1460.0,Eastern Africa,Africa,-13.133897,27.849332,540.1999999999999,85.994,451.14
